Code,Description,System,Affected_Component,SSP_Reference,Common_Causes,Symptoms,Recommended_Fix
P0335,Crankshaft Position Sensor Circuit Malfunction,Engine Speed / Timing,Engine Speed Sender G28,SSP 359 p.34,Damaged sensor tip; metallic debris on sender wheel; wiring fault; damaged crankshaft sealing flange sender wheel,Engine will not start or stops suddenly; no injection or ignition possible,Inspect G28 for damage or contamination; check sender wheel on crankshaft sealing flange; verify wiring
P0336,Crankshaft Position Sensor Circuit Range/Performance,Engine Speed / Timing,Engine Speed Sender G28,SSP 359 p.34,Intermittent wiring fault; partial tooth damage on sender wheel; excessive air gap,Intermittent misfires; unstable idle; stalling,Inspect sender wheel teeth for damage; check air gap; check wiring for intermittent fault
P0340,Camshaft Position Sensor Circuit Malfunction,Engine Speed / Timing,Hall Sender G40,SSP 359 p.34,Failed Hall sender; wiring fault; damaged inlet camshaft teeth (4 teeth scanned),Engine may continue running but cannot be restarted; camshaft adjustment disabled; inlet camshaft held in late position; loss of torque,Inspect G40 sensor and wiring; check inlet camshaft for damage to trigger teeth
P0341,Camshaft Position Sensor Circuit Range/Performance,Engine Speed / Timing,Hall Sender G40,SSP 359 p.34,Intermittent wiring; sensor partially contaminated; timing chain wear causing out-of-range signal,Intermittent start issues; poor torque especially at low rpm; camshaft adjustment erratic,Check timing chain for wear/stretch; inspect G40 wiring and mounting
P0016,Crankshaft/Camshaft Timing Correlation Bank 1 Sensor A,Engine Timing,Inlet Camshaft Vane Adjuster / Hall Sender G40 / Engine Speed Sender G28,SSP 359 p.7,Worn timing chain; failed vane adjuster; blocked oil feed to camshaft adjuster N205; incorrect engine oil,Rough idle; loss of power; rattling on start-up,Check timing chain stretch; verify oil pressure at vane adjuster; inspect N205 valve; check oil quality and level
P0011,Camshaft Position A Over-Advanced Bank 1,Camshaft Timing,Inlet Camshaft Timing Adjustment Valve N205 / Vane Adjuster,SSP 359 p.7,N205 valve stuck open; blocked vane adjuster oil gallery; ECU commanding maximum advance,Poor fuel economy; rough idle; emissions fault; possible rattle,Test N205 valve electrically; check oil supply to vane adjuster; inspect timing chain
P0012,Camshaft Position A Over-Retarded Bank 1,Camshaft Timing,Inlet Camshaft Timing Adjustment Valve N205 / Vane Adjuster,SSP 359 p.7,N205 valve stuck closed (holds late position on failure); oil sludge in vane adjuster,Loss of low-rpm torque; poor idle; N205 default failure mode,Test N205 valve; flush oil system; replace N205 if faulty; check oil condition
P0321,Ignition/Distributor Engine Speed Input Circuit Range/Performance,Ignition,Engine Speed Sender G28,SSP 359 p.34,Intermittent G28 signal; EMI interference; damaged wiring near starter motor,Intermittent misfires; rough running at specific rpm,Check G28 wiring routing for EMI sources; clean connector
P0300,Random/Multiple Cylinder Misfire Detected,Combustion,Multiple Cylinders / Ignition Coils / Injectors,SSP 359 p.46-53,Faulty ignition coil(s); blocked injectors; low fuel pressure; boost leak; knock causing retarded ignition,Rough running; loss of power; increased emissions; catalyst damage possible,Perform cylinder contribution test; check all coils N70/N127/N291/N292; check injectors N30–N33; verify fuel pressure
P0301,Cylinder 1 Misfire Detected,Combustion,Ignition Coil N70 / Injector N30,SSP 359 p.46-53,Failed ignition coil N70; failed injector N30; low compression; carbon on spark plug,Rough idle; possible catalyst overheating; cylinder deactivated on confirmed fault,Swap coil to another cylinder to confirm; test injector N30; check compression
P0302,Cylinder 2 Misfire Detected,Combustion,Ignition Coil N127 / Injector N31,SSP 359 p.46-53,Failed ignition coil N127; failed injector N31; low compression,Rough idle; possible catalyst overheating,Swap coil to another cylinder to confirm; test injector N31; check compression
P0303,Cylinder 3 Misfire Detected,Combustion,Ignition Coil N291 / Injector N32,SSP 359 p.46-53,Failed ignition coil N291; failed injector N32; low compression,Rough idle; possible catalyst overheating,Swap coil to another cylinder to confirm; test injector N32; check compression
P0304,Cylinder 4 Misfire Detected,Combustion,Ignition Coil N292 / Injector N33,SSP 359 p.46-53,Failed ignition coil N292; failed injector N33; low compression,Rough idle; possible catalyst overheating,Swap coil to another cylinder to confirm; test injector N33; check compression
P0325,Knock Sensor Circuit Malfunction,Knock Control,Knock Sensor G61,SSP 359 p.40,Failed sensor; loose mounting bolt (affects sensitivity); chafed wiring; sensor located below supercharger on cylinder block,Ignition angle of all cylinders retarded to fixed late value; increased fuel consumption; loss of power and torque,Check G61 mounting torque; inspect wiring; replace G61
P0327,Knock Sensor Circuit Low Input,Knock Control,Knock Sensor G61,SSP 359 p.40,Short to ground on signal wire; failed sensor,All cylinder ignition timing retarded; increased fuel consumption,Check wiring for short; replace G61
P0326,Knock Sensor Circuit Range/Performance,Knock Control,Knock Sensor G61,SSP 359 p.40,Loose mounting bolt reducing acoustic coupling; sensor sensitivity degraded,Premature detonation possible; loss of power due to over-retarded ignition,Torque G61 to specification; replace if still faulty
P0115,Coolant Temperature Sensor Circuit Malfunction,Cooling System,Coolant Temperature Sender G62,SSP 359 p.41,Failed sensor; wiring fault; damaged connector near coolant distributor,Engine management uses mapped temperature substitute; incorrect injection timing; cold start enrichment errors,Check G62 wiring; replace sender
P0117,Coolant Temperature Sensor Circuit Low,Cooling System,Coolant Temperature Sender G62,SSP 359 p.41,Short to ground; failed sensor,ECU calculates substitute coolant temperature from map; poor cold start behaviour,Check wiring for short to ground; replace G62
P0118,Coolant Temperature Sensor Circuit High,Cooling System,Coolant Temperature Sender G62,SSP 359 p.41,Open circuit; failed sensor,ECU uses substitute temperature value; poor hot-start enrichment,Check wiring for open circuit; replace G62
P0128,Coolant Temperature Below Thermostat Regulating Temperature,Cooling System,Thermostat 1 or 2 / Coolant Distributor Housing,SSP 359 p.24-25,Thermostat stuck open; dual-circuit thermostat stage 1 (opens at 80°C) failed; coolant temperature sender G83 faulty,Engine slow to reach operating temperature; heater output poor; increased fuel consumption; cylinder block coolant circuit fails to hold 95°C,Replace thermostat 1 if stuck open; check G83 sender
P0116,Radiator Outlet Coolant Temperature Sensor Range/Performance,Cooling System,Radiator Outlet Coolant Temperature Sender G83,SSP 359 p.41,Failed sensor; G62 used as substitute; slow radiator fan response,Incorrect radiator fan control; potential overheating risk,Replace G83; compare readings with G62
P0031,Lambda Probe Heater Circuit Low (Before Catalyst),Exhaust / Emissions,Lambda Probe Heater Z19 (with G39),SSP 359 p.42,Short to ground in heater circuit; failed heater element in probe; blown fuse,Slow lambda probe warm-up; delayed closed-loop control; emissions fault on cold start,Check Z19 heater resistance; inspect wiring and fuse; replace G39 assembly if heater failed
P0032,Lambda Probe Heater Circuit High (Before Catalyst),Exhaust / Emissions,Lambda Probe Heater Z19 (with G39),SSP 359 p.42,Open circuit in heater circuit; failed relay,Slow closed-loop entry; cold start emissions high,Check heater circuit wiring; replace G39/Z19 assembly
P0130,Lambda Probe Circuit Malfunction (Before Catalyst),Exhaust / Emissions,Lambda Probe G39,SSP 359 p.42,Failed step-type lambda probe; wiring fault; probe contaminated by oil or coolant,No Lambda control; injection quantity runs on pre-control only; Lambda adjustment blocked; activated charcoal filter in emergency mode,Replace G39; check for oil or coolant contamination in exhaust
P0133,Lambda Probe Circuit Slow Response (Before Catalyst),Exhaust / Emissions,Lambda Probe G39,SSP 359 p.42,Aged probe with slow switching response; slight contamination; wiring resistance high,Emissions increase; fuel trim corrections slow; slight rich/lean oscillation,Replace G39 probe
P0037,Lambda Probe Heater Circuit Low (After Catalyst),Exhaust / Emissions,Lambda Probe Heater Z29 (with G130),SSP 359 p.42,Short to ground in heater circuit; failed heater element; blown fuse,Catalyst monitoring delayed or disabled; no MIL for catalyst efficiency,Check Z29 heater resistance; inspect wiring; replace G130/Z29 assembly
P0136,Lambda Probe Circuit Malfunction (After Catalyst),Exhaust / Emissions,Lambda Probe G130,SSP 359 p.42,Failed probe; wiring fault,Catalyst efficiency monitoring disabled,Replace G130; inspect wiring
P0420,Catalyst System Efficiency Below Threshold,Exhaust / Emissions,Three-Way Catalytic Converter / Lambda Probe G130,SSP 359 p.27,Aged catalyst; misfires causing catalyst damage; oil or coolant contamination; exhaust leak before catalyst,MIL illuminated; increased emissions; failed emissions test,Check for misfires first; inspect exhaust manifold and connecting pipe (air-gap insulated on TSI); replace catalyst if confirmed degraded
P0170,Fuel Trim Malfunction (Bank 1),Fuel / Air Management,Engine Control Unit J623 / Lambda System,SSP 359 p.28-31,Large boost leak; faulty G71 MAP sensor; failed G39 lambda probe; injector fault; large crankcase ventilation leak,Rough running; failed emissions test; poor fuel economy,Check for intake air leaks especially after supercharger; inspect crankcase ventilation hoses; check lambda probe operation
P0171,Fuel Trim Too Lean (Bank 1),Fuel / Air Management,Fuel System / Intake Air System,SSP 359 p.26-27,Low fuel pressure; boost leak in intercooler circuit; blocked injector; MAF/MAP error,Poor performance; lean hesitation; high idle,Check all charge air hose connections post-intercooler; verify fuel pressure; test injectors N30–N33
P0172,Fuel Trim Too Rich (Bank 1),Fuel / Air Management,Fuel System / Lambda System,SSP 359 p.26-27,Leaking injector; high fuel pressure; failed lambda probe; crankcase ventilation fault,Fuel smell; black smoke; fouled spark plugs; rich idle,Check fuel pressure regulating valve N276; test injectors for leakback; inspect crankcase ventilation system
P0410,Secondary Air Injection System Malfunction,Emissions,Not applicable (TSI uses double injection for cat heating instead),SSP 359 p.4,N/A – The 1.4 TSI uses double injection catalytic converter heating mode rather than secondary air injection,Not applicable,Note: The TSI uses double injection (intake stroke + 50° before TDC) for cat warm-up – secondary air injection is not fitted
P0500,Vehicle Speed Sensor Malfunction,Drivetrain,ABS/Instrument Cluster via CAN,SSP 359 p.30,CAN communication fault; ABS sensor fault; J533 data bus diagnostic interface issue,Cruise control disabled; speed-dependent idle control affected,Check CAN bus communication between J623 and J533; verify ABS sensors
P0562,System Voltage Low,Electrical,Battery / Alternator / Wiring,SSP 359 p.28-31,Weak battery; failing alternator; corroded battery terminals; high current draw,Multiple sensor faults triggered simultaneously; boost control erratic; ignition coil energy reduced,Check battery state of charge and health; check alternator output; inspect main earth connections
P0604,Internal Control Module RAM Error,Engine Management,Engine Control Unit J623,SSP 359 p.31,Voltage spike; failed ECU; water ingress into ECU (mounted in plenum chamber),Engine may not start; multiple faults stored simultaneously,Check ECU location in plenum chamber for water ingress; check supply voltage; replace/recode J623
P0638,Throttle Actuator Control Range/Performance,Throttle Control,Throttle Valve Drive G186 (in module J338),SSP 359 p.47,Failed throttle valve motor; gearbox mechanism binding; wiring fault to G186,Engine enters emergency mode; engine speed limited to 1500rpm; cruise control disabled,Test G186 motor and gearbox; replace J338 throttle valve module
P0657,Actuator Supply Voltage Circuit Open,Electrical,Motronic Current Supply Relay J271,SSP 359 p.46,Failed relay J271; blown fuse; wiring open circuit,Engine will not start; all sensors and actuators fed by J271 lose power,Inspect J271 relay in E-box left of engine compartment; check associated fuses; check wiring
P1545,Throttle Valve Control Malfunction,Throttle Control,Throttle Valve Module J338 / Angle Senders G187 and G188,SSP 359 p.35,Both G187 and G188 angle senders failed simultaneously; throttle valve stuck,Engine speed limited to 1500rpm; throttle valve drive switched off; no accelerator response,Replace J338 throttle valve module assembly; check wiring to both G187 and G188
P1579,Idle Speed Control Throttle Position Adaptation Outside Limits,Throttle Control,Throttle Valve Module J338,SSP 359 p.47,Carbon build-up on throttle valve; throttle valve not returning to base position; failed throttle motor,Poor idle quality; unstable idle; throttle response issues,Clean throttle valve body; perform basic throttle setting adaptation; replace J338 if motor faulty
P1582,Idle Adaptation at Limit,Throttle Control,Throttle Valve Module J338 / Engine Mechanical,SSP 359 p.47,Significant air leak; throttle body carbon build-up; worn engine components,Poor idle; ECU at limits of idle correction,Check for intake air leaks; clean throttle body
P1602,Power Supply Terminal 30 Low Voltage,Electrical,Engine Control Unit J623 Power Supply,SSP 359 p.31,Low battery voltage during key-on; corroded battery terminal; high resistance in main supply,Multiple simultaneous faults; ECU resets; boost control issues,Check battery condition; check terminal 30 supply fuse and wiring to ECU
P1296,Boost Pressure Regulation: Regulating Flap Control Circuit,Charging System,Regulating Flap Control Unit J808 / Control Motor V380,SSP 359 p.47,Failed V380 motor; wiring fault; J808 unit defective; regulating flap mechanically stuck,Regulating flap defaults to fully open; supercharger cannot be activated; no boost below 3500rpm,Check V380 motor operation; test regulating flap for mechanical freedom; replace J808 unit if motor confirmed faulty
P1423,Supercharger Regulation: Boost Pressure Regulation,Charging System,Regulating Flap Potentiometer G584 / J808,SSP 359 p.35,Failed G584 potentiometer; wiring fault; regulating flap position signal implausible,Supercharger boost pressure regulation disabled; regulating flap held fully open; engine loses low-rpm performance,Test G584 potentiometer signal sweep; check wiring; replace J808/G584 assembly
P1425,Regulating Flap Potentiometer G584 Supply Circuit,Charging System,Regulating Flap Potentiometer G584,SSP 359 p.35,Open circuit in supply or ground to G584; failed J808 unit,No flap position signal; supercharger disabled,Check wiring supply and ground to J808; replace unit if wiring is intact
P1580,Supercharger Magnetic Clutch N421: Short Circuit to Ground,Charging System,Magnetic Clutch for Supercharger N421,SSP 359 p.50,Short to ground in N421 coil wiring; failed N421 solenoid coil; wiring chafed against bodywork,Supercharger continuously engaged or not engageable; clicking noise at clutch,Inspect N421 wiring for short; replace N421 magnetic clutch
P1581,Supercharger Magnetic Clutch N421: Open Circuit,Charging System,Magnetic Clutch for Supercharger N421,SSP 359 p.50,Open circuit in N421 coil wiring; blown fuse; failed solenoid; failed G582 current sensor,Supercharger not activatable; no boost from supercharger below 3500rpm; clicking may stop,Check wiring from J271 relay through G582 to N421; check G582 sensor for open circuit
P1582,Sensor for Current Measurement G582: Signal Implausible,Charging System,Sensor for Current Measurement G582,SSP 359 p.44,Failed G582 sensor (located in E-box left of engine); wiring fault; diode in sensor failed,Magnetic clutch engages with a jolt instead of gently; if complete failure – supercharger cannot be activated,Locate G582 in left E-box; test sensor output voltage; replace G582
P0743,Torque Converter Clutch Solenoid Circuit Electrical,Transmission (DSG),Mechatronic Unit J743 (DSG only),SSP 359 p.30,DSG mechatronic fault; CAN communication fault between J623 and J743,Gear change issues; supercharger magnetic clutch always uses PWM (DSG vehicles); limp mode possible,Check CAN bus; refer to DSG system – fault handled by J743 mechatronic unit
P0460,Fuel Level Sensor Circuit Malfunction,Fuel System,Fuel Gauge Sender G / Fuel Pump Unit,SSP 359 p.52,Failed sender in fuel supply unit (integrated with G6); wiring fault,Incorrect fuel level reading; possible fuel pump operation issues,Check fuel pump unit assembly including G sender; check wiring
P0627,Fuel Pump Control Circuit Open,Fuel System (Low Pressure),Fuel Pump Control Unit J538 / Fuel Pump G6,SSP 359 p.52,Failed J538 control unit; open circuit to G6; blown fuse; failed relay,Engine will not run; no fuel delivery,Check J538 location under rear bench; check PWM signal from J623 to J538; check fuse for fuel pump
P0230,Fuel Pump Primary Circuit Malfunction,Fuel System (Low Pressure),Fuel Pump G6,SSP 359 p.52,Failed fuel pump G6; wiring fault; corroded connector in fuel tank,Engine cranks but will not start; fuel rail does not pressurise,Check fuel pump supply voltage and ground; replace G6 fuel pump unit
P0520,Engine Oil Pressure Sensor Circuit Malfunction,Lubrication,Duo-Centric Oil Pump / Oil Pressure Switch,SSP 359 p.22-23,Failed oil pressure sender; low oil level; oil pump wear; blocked oil strainer,Oil warning light; potential engine damage if oil pressure genuinely low,Check oil level first; verify oil pressure mechanically; inspect duo-centric oil pump regulation
P0521,Engine Oil Pressure Sensor Range/Performance,Lubrication,Regulated Duo-Centric Oil Pump,SSP 359 p.23,Oil pump regulation circuit fault; control ring sticking; incorrect oil viscosity,Oil pressure inconsistent across rev range; oil pressure warning at idle,Check oil viscosity specification; inspect oil pump control spring and control ring; replace pump if regulation fails
P0480,Cooling Fan Control Circuit Malfunction,Cooling System,Additional Coolant Pump Relay J496 / Coolant Circulation Pump V50,SSP 359 p.55,Failed J496 relay (left under dash panel); failed V50 pump; wiring fault,Turbocharger overheating after engine off (steam bubbles risk); coolant not circulated post-shutdown for 15 minutes,Check J496 relay location under left dash panel; test V50 pump directly; check wiring
P0481,Cooling Fan 2 Control Circuit Malfunction,Cooling System,Coolant Circulation Pump V50,SSP 359 p.55,Failed V50 pump motor; wiring fault; V50 failure not detected by self-diagnosis,Post-shutdown turbocharger overheating; coolant boiling risk in turbocharger,Note: SSP 359 states faulty V50 is NOT recognised by self-diagnosis – suspect V50 if turbo overheating occurs without stored fault
P0443,Evaporative Emission Control System Purge Control Valve Circuit,Emissions,Active Charcoal Filter System Solenoid Valve N80,SSP 359 p.54,Failed N80 solenoid; wiring open circuit; power supply interrupted,Tank not ventilated; possible fuel smell; EVAP system non-functional,Check N80 location near throttle valve module; verify supply voltage; replace N80 solenoid
P0444,Evaporative Emission Control System Purge Control Valve Circuit Open,Emissions,Active Charcoal Filter System Solenoid Valve N80,SSP 359 p.54,Open circuit in N80 supply or ground wire,Fuel vapours not purged; tank ventilation failure; fuel odour,Check wiring continuity to N80; replace N80 if wiring is intact
P0447,Evaporative Emission Control System Vent Control Circuit Open,Emissions,Active Charcoal Filter System / Check Valve,SSP 359 p.54,Check valve failed closed; N80 wiring fault; EVAP hose blocked,Fuel tank pressurisation; fuel smell,Inspect check valve between N80 and turbocharger inlet; check hose routing
P0261,Injector Circuit Low - Cylinder 1,Fuel System (High Pressure),Injector N30,SSP 359 p.53,Short to ground in N30 wiring; failed injector solenoid,Cylinder 1 disabled; misfire; rough running,Check N30 wiring for short; replace injector N30 (note: 150 bar max injection pressure on TSI)
P0264,Injector Circuit Low - Cylinder 2,Fuel System (High Pressure),Injector N31,SSP 359 p.53,Short to ground in N31 wiring; failed injector solenoid,Cylinder 2 disabled; misfire; rough running,Check N31 wiring for short; replace injector N31
P0267,Injector Circuit Low - Cylinder 3,Fuel System (High Pressure),Injector N32,SSP 359 p.53,Short to ground in N32 wiring; failed injector solenoid,Cylinder 3 disabled; misfire; rough running,Check N32 wiring for short; replace injector N32
P0270,Injector Circuit Low - Cylinder 4,Fuel System (High Pressure),Injector N33,SSP 359 p.53,Short to ground in N33 wiring; failed injector solenoid,Cylinder 4 disabled; misfire; rough running,Check N33 wiring for short; replace injector N33
P0365,Camshaft Position Sensor Circuit Malfunction (Exhaust),Engine Timing,Hall Sender G40 (monitors inlet camshaft only on this engine),SSP 359 p.34,Note: Only inlet camshaft is adjusted on 1.4 TSI. Outlet camshaft is fixed. G40 monitors inlet only. Fault may indicate G40 or timing chain issue,Timing faults; potential chain-related noise,Verify this is an inlet camshaft fault; check timing chain for wear
P0420,Catalytic Converter Efficiency Below Threshold,Exhaust System,Three-Way Catalytic Converter,SSP 359 p.27,Misfires causing catalyst damage (especially with double-injection heating mode); oil consumption fouling catalyst; exhaust leak at air-gap insulated connecting pipe,MIL on; emissions failure; reduced catalyst efficiency reading from G130,Check exhaust connecting pipe (air-gap insulated) between turbocharger and catalyst for leaks; verify no misfires; replace catalyst if confirmed
P1176,Lambda Probe G39 Correction Value at Limit,Exhaust / Emissions,Lambda Probe G39 / Fuel Trim,SSP 359 p.42,Large air leak; failing probe; significant injector imbalance; crankcase ventilation fault,Lambda correction at limit of adaptive range; emissions failure; MIL illuminated,Check all intake air connections post-air filter; check crankcase ventilation check valve and hoses; test G39 probe
P0597,Thermostat Heater Control Circuit Open,Cooling System,Thermostat 1 (Dual-Stage) / Coolant Distributor Housing,SSP 359 p.24-25,Thermostat 1 (opens at 80°C for cylinder head circuit) failed; coolant distributor housing fault,Cylinder head cooling circuit not regulated properly; knocking tendency may increase; combustion chamber temperature management affected,Replace thermostat 1 assembly; note dual-stage design of TSI thermostat requiring correct replacement part
